what,with,where,when,when_start,when_end,type,why,selected,display
The Fifth International Congress of Serbian Society for Mitochondrial and Free Radical Physiology,"Preparation for oxidative stress: History, recent advances and future directions","Belgrade, Serbia",2024,NA,NA,oral,Keynote speaker.,TRUE,TRUE
How Global South Research Can Shape the Future of Comparative Physiology Workshop,Galleria mellonella as a Model for Comparative Biochemistry and Physiology,"Kruger National Park, South Africa",2024,NA,NA,oral,Oral presentation.,TRUE,TRUE
Club on Redox Biology (@clubonredoxbiology on YouTube),Preparation for Oxidative Stress in Frogs from the Brazilian Semi-Arid Region During Estivation under Natural Conditions,Virtual,2023,NA,NA,oral,Virtual oral presentation,NA,TRUE
4th Latin American Biotechnology Symposium,Redox Biology and COVID-19,"Parnaíba, Brazil",2022,NA,NA,oral,Oral presentation.,NA,TRUE
10th International Congress of Comparative Physiology and Biochemistry (ICCPB),Is there Preparation for Oxidative Stress in estivating frogs under natural field conditions of the Brazilian semi-arid Caatinga?,"Ottawa, Canada",2019,NA,NA,oral,Oral presentation.,TRUE,TRUE
38th World Congress of The International Union of Physiological Sciences (IUPS),Modulation of antioxidants and central metabolism during months-long estivation of a frog in a semi-arid environment,"Rio de Janeiro, Brazil",2017,NA,NA,poster,Poster presentation.,NA,TRUE
VII Simpósio do Programa de Pós-Graduação em Ciências Biológicas (Biologia Molecular),"Adaptações do Metabolismo Redox aos Extremos Ambientais: Mecanismo, Distribuição e Ocorrência do Fenômeno de Preparo para o Estresse Oxidativo","Brasilia, Brazil",2017,NA,NA,poster,Poster presentation.,NA,TRUE
VI Simpósio do Programa de Pós-Graduação em Ciências Biológicas (Biologia Molecular),Modulação de antioxidantes e do metabolismo central durante meses de estivação do anuro *Proceratophrys cristiceps* em um ambiente semi-árido,"Brasilia, Brazil",2016,NA,NA,poster,Poster presentation.,NA,TRUE
9th International Congress of Comparative Physiology and Biochemistry (ICCPB),"Redox balance, endogenous antioxidants and metabolic adjustments during Tropical diapause in the sunflower caterpillar *Chlosyne lacinia* (Lepidoptera: Nymphalidae)","Kraków, Poland",2015,NA,NA,oral,Oral presentation.,TRUE,TRUE
V Simpósio do Programa de Pós-Graduação em Ciências Biológicas (Biologia Molecular),Preparo para o Estresse Oxidativo no Reino Animal,"Brasilia, Brazil",2015,NA,NA,poster,Poster presentation.,NA,TRUE
IV Simpósio do Programa de Pós-Graduação em Ciências Biológicas (Biologia Molecular),Papel de Antioxidantes Endógenos como Parte do Sistema Adaptativo de um Anfíbio para Sobrevivência nas Secas da Caatinga,"Brasilia, Brazil",2014,NA,NA,poster,Poster presentation.,NA,TRUE
III Simpósio do Programa de Pós-Graduação em Ciências Biológicas (Biologia Molecular),Aspectos bioquímicos da diapausa da lagarta do girassol (*Chlosyne lacinia*),"Brasilia, Brazil",2013,NA,NA,poster,Poster presentation.,NA,TRUE
14th International Hibernation Symposium,Redox metabolism during tropical diapause in a Lepidoptera larva,"Semmering, Austria",2012,NA,NA,oral,Oral presentation.,NA,TRUE
First International Congress on Oxidative Stress in Aquatic Ecosystems,Animal responses to wild fluctuations in oxygen availability - revisiting the concept of Preparation for Oxidative Stress,"Los Cabos, Mexico",2012,NA,NA,poster,Poster presentation.,NA,TRUE
XXVII Annual Meeting of the Brazilian Federation of Experimental Biology Societies (FeSBE),Oxidative stress markers and antioxidant defenses during insect diapause,"Águas de Lindóia, Brazil",2012,NA,NA,oral,Oral presentation.,NA,TRUE
XL Annual Meeting of the Brazilian Society for Biochemistry and Molecular Biology (SBBq),Free radical metabolism during diapause in a lepidopteran species,"Foz do Iguaçu, Brazil",2011,NA,NA,poster,Poster presentation.,NA,TRUE
16° Congresso de Iniciação Científica da Universidade de Brasília e 7° Congresso de Iniciação Científica do Distrito Federal,Estudo do sistema antioxidante durante a diapausa,"Brasilia, Brazil",2010,NA,NA,poster,Poster presentation.,NA,TRUE
15° Congresso de Iniciação Científica da Universidade de Brasília e 6° Congresso de Iniciação Científica do Distrito Federal,O papel da catalase na defesa antioxidante de um gastrópode durante um ciclo de anóxia e reoxigenação,"Brasilia, Brazil",2009,NA,NA,poster,Poster presentation.,NA,TRUE
XXXVIII Annual Meeting of the Brazilian Society for Biochemistry and Molecular Biology (SBBq),The role of catalase during anoxia and reoxygenation in gastropods,"Águas de Lindóia, Brazil",2009,NA,NA,poster,Poster presentation.,NA,TRUE